time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-14 00:00:00+00:00,2.0,2.0,7,5
2021-09-15 00:00:00+00:00,7.0,4.0,56,5
2021-09-16 00:00:00+00:00,,,15,10
2021-09-17 00:00:00+00:00,,,40,9
2021-09-18 00:00:00+00:00,,,1,1
2021-09-19 00:00:00+00:00,,,21,6
2021-09-20 00:00:00+00:00,,,20,5
2021-09-21 00:00:00+00:00,,,20,6
2021-09-22 00:00:00+00:00,,,50,8
2021-09-23 00:00:00+00:00,,,11,5
2021-09-24 00:00:00+00:00,,,41,4
2021-09-25 00:00:00+00:00,,,78,3
2021-09-26 00:00:00+00:00,,,58,11
2021-09-27 00:00:00+00:00,,,115,18
