time_iso8601,stars_cumulative
2020-10-11 00:00:00+00:00,1
2020-10-16 00:00:00+00:00,2
2020-12-18 00:00:00+00:00,3
2020-12-21 00:00:00+00:00,4
2020-12-22 00:00:00+00:00,5
2020-12-23 00:00:00+00:00,6
2020-12-24 00:00:00+00:00,8
2020-12-31 00:00:00+00:00,9
2021-01-14 00:00:00+00:00,10
2021-01-18 00:00:00+00:00,11
2021-01-22 00:00:00+00:00,13
2021-01-29 00:00:00+00:00,14
2021-02-05 00:00:00+00:00,15
2021-02-06 00:00:00+00:00,16
2021-03-19 00:00:00+00:00,17
2021-04-13 00:00:00+00:00,18
2021-04-16 00:00:00+00:00,20
2021-04-18 00:00:00+00:00,21
2021-04-25 00:00:00+00:00,22
2021-05-05 00:00:00+00:00,23
2021-05-09 00:00:00+00:00,26
2021-05-17 00:00:00+00:00,27
2021-05-20 00:00:00+00:00,28
2021-06-06 00:00:00+00:00,30
2021-06-10 00:00:00+00:00,31
2021-06-13 00:00:00+00:00,32
2021-06-17 00:00:00+00:00,33
2021-06-28 00:00:00+00:00,34
2021-07-05 00:00:00+00:00,35
2021-08-07 00:00:00+00:00,36
2021-09-04 00:00:00+00:00,37
2021-09-15 00:00:00+00:00,38
2021-09-19 00:00:00+00:00,39
