time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-07 00:00:00+00:00,8,3,96.0,34.0
2021-09-08 00:00:00+00:00,18,5,119.0,27.0
2021-09-09 00:00:00+00:00,5,4,98.0,21.0
2021-09-10 00:00:00+00:00,10,8,106.0,41.0
2021-09-11 00:00:00+00:00,18,7,73.0,18.0
2021-09-12 00:00:00+00:00,4,4,45.0,15.0
2021-09-13 00:00:00+00:00,9,4,121.0,38.0
2021-09-14 00:00:00+00:00,7,5,184.0,39.0
2021-09-15 00:00:00+00:00,7,3,158.0,43.0
2021-09-16 00:00:00+00:00,15,6,,
2021-09-17 00:00:00+00:00,19,3,,
2021-09-18 00:00:00+00:00,130,2,,
2021-09-19 00:00:00+00:00,139,4,,
2021-09-20 00:00:00+00:00,116,8,,
